iter	Passed	Remaining
0	0	55
1	1	58
2	1	59
3	2	56
4	3	57
5	3	56
6	4	54
7	4	54
8	5	53
9	5	52
10	6	51
11	6	50
12	7	49
13	8	49
14	8	49
15	9	49
16	9	48
17	10	47
18	11	47
19	11	46
20	11	44
21	12	43
22	12	42
23	13	42
24	13	41
25	14	41
26	15	40
27	15	40
28	16	39
29	16	38
30	17	37
31	17	37
32	17	36
33	18	35
34	18	34
35	19	33
36	19	33
37	20	32
38	20	32
39	21	32
40	21	31
41	22	30
42	22	29
43	23	29
44	23	28
45	23	28
46	24	27
47	24	27
48	25	26
49	26	26
50	27	26
51	27	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	20
61	33	20
62	34	20
63	34	19
64	35	19
65	36	18
66	36	18
67	37	17
68	38	17
69	38	16
70	39	16
71	40	15
72	40	15
73	41	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	46	10
81	46	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	53	4
93	53	3
94	54	2
95	54	2
96	55	1
97	55	1
98	56	0
99	56	0
