iter	Passed	Remaining
0	158	158191
1	159	79382
2	159	53083
3	160	39903
4	160	32009
5	161	26728
6	161	22970
7	162	20152
8	163	17967
9	163	16217
10	164	14795
11	165	13593
12	165	12579
13	166	11711
14	166	10954
15	167	10294
16	168	9715
17	168	9196
18	169	8734
19	169	8315
20	170	7942
21	170	7598
22	171	7285
23	172	6995
24	172	6731
25	173	6485
26	173	6257
27	174	6046
28	174	5847
29	175	5665
30	175	5494
31	176	5331
32	176	5182
33	177	5042
34	178	4908
35	178	4788
36	179	4673
37	180	4560
38	180	4452
39	181	4349
40	181	4250
41	182	4156
42	182	4067
43	183	3982
44	183	3901
45	184	3824
46	184	3749
47	185	3677
48	185	3608
49	186	3544
50	187	3482
51	187	3420
52	188	3363
53	188	3306
54	189	3251
55	189	3198
56	190	3147
57	190	3096
58	191	3050
59	191	3003
60	192	2960
61	192	2917
62	193	2875
63	194	2839
64	194	2801
65	195	2763
66	195	2725
67	196	2690
68	196	2655
69	197	2621
70	197	2588
71	198	2556
72	198	2525
73	199	2495
74	199	2466
75	200	2437
76	201	2410
77	201	2382
78	202	2355
79	202	2330
80	203	2304
81	203	2279
82	203	2252
83	204	2229
84	204	2206
85	205	2185
86	206	2163
87	206	2141
88	207	2121
89	207	2101
90	208	2082
91	209	2066
92	209	2047
93	210	2028
94	210	2009
95	211	1992
96	212	1974
97	212	1956
98	213	1939
99	213	1923
100	214	1907
101	214	1891
102	215	1874
103	215	1859
104	216	1844
105	217	1830
106	217	1815
107	218	1801
108	218	1787
109	219	1773
110	219	1759
111	220	1745
112	220	1733
113	221	1720
114	221	1708
115	222	1695
116	222	1682
117	223	1670
118	224	1660
119	224	1649
120	225	1638
121	225	1626
122	226	1616
123	227	1605
124	227	1594
125	228	1584
126	228	1573
127	229	1563
128	230	1553
129	230	1544
130	231	1534
131	231	1525
132	232	1515
133	233	1506
134	233	1496
135	234	1487
136	234	1478
137	235	1469
138	235	1460
139	236	1451
140	236	1442
141	237	1433
142	237	1424
143	238	1416
144	238	1408
145	239	1402
146	240	1396
147	241	1391
148	242	1383
149	242	1376
150	243	1369
151	244	1361
152	244	1354
153	245	1347
154	245	1340
155	246	1333
156	247	1326
157	247	1319
158	248	1312
159	248	1305
160	249	1298
161	249	1291
162	250	1285
163	250	1278
164	251	1271
165	251	1265
166	252	1259
167	253	1253
168	253	1247
169	254	1241
170	255	1237
171	256	1233
172	256	1227
173	257	1221
174	257	1215
175	258	1210
176	259	1204
177	259	1198
178	260	1193
179	260	1188
180	261	1183
181	263	1182
182	263	1178
183	264	1173
184	265	1168
185	265	1163
186	266	1158
187	266	1153
188	267	1148
189	268	1143
190	268	1138
191	269	1133
192	270	1130
193	271	1127
194	272	1123
195	272	1118
196	273	1113
197	273	1109
198	274	1104
199	274	1099
200	275	1095
201	276	1091
202	276	1086
203	277	1082
204	277	1078
205	278	1073
206	279	1069
207	279	1065
208	280	1060
209	280	1056
210	281	1052
211	282	1048
212	282	1044
213	283	1040
214	283	1036
215	284	1032
216	285	1029
217	286	1026
218	287	1023
219	287	1020
220	288	1016
221	289	1013
222	289	1009
223	290	1005
224	290	1001
225	291	998
226	292	994
227	292	990
228	293	987
229	293	983
230	294	979
231	294	976
232	295	972
233	296	968
234	296	965
235	297	962
236	297	958
237	298	955
238	298	951
239	299	948
240	300	945
241	301	943
242	302	941
243	303	939
244	303	935
245	304	932
246	304	928
247	305	925
248	305	922
249	306	919
250	307	916
251	307	913
252	308	910
253	308	907
254	309	904
255	309	900
256	310	897
257	311	895
258	311	891
259	312	889
260	313	886
261	313	883
262	314	880
263	314	877
264	315	875
265	316	873
266	317	872
267	318	869
268	319	867
269	319	864
270	320	861
271	320	858
272	321	855
273	321	852
274	322	849
275	322	846
276	323	843
277	323	840
278	324	838
279	324	835
280	325	832
281	326	830
282	326	827
283	327	824
284	327	821
285	328	819
286	328	816
287	329	814
288	329	811
289	330	809
290	331	808
291	332	805
292	332	803
293	333	800
294	334	798
295	334	795
296	335	793
297	335	790
298	336	788
299	336	785
300	337	783
301	337	780
302	338	777
303	338	775
304	339	773
305	339	770
306	340	768
307	340	765
308	341	763
309	341	761
310	342	758
311	342	756
312	343	753
313	343	751
314	344	748
315	344	746
316	345	744
317	346	743
318	347	741
319	348	740
320	348	738
321	349	735
322	350	733
323	350	731
324	351	729
325	351	726
326	352	724
327	352	722
328	353	720
329	353	718
330	354	715
331	354	713
332	355	711
333	355	709
334	356	707
335	356	705
336	357	702
337	357	700
338	358	698
339	358	696
340	359	694
341	360	692
342	360	691
343	361	689
344	362	687
345	362	686
346	363	684
347	363	681
348	364	679
349	364	677
350	365	675
351	366	673
352	366	671
353	366	669
354	367	667
355	367	665
356	368	663
357	369	661
358	369	659
359	370	657
360	370	655
361	371	653
362	371	651
363	372	650
364	372	648
365	373	646
366	373	644
367	374	642
368	374	640
369	375	638
370	375	637
371	376	636
372	377	634
373	378	632
374	378	631
375	379	629
376	379	627
377	380	626
378	381	624
379	381	622
380	382	620
381	382	619
382	383	617
383	383	615
384	384	613
385	384	612
386	385	610
387	385	608
388	386	606
389	386	605
390	387	603
391	387	601
392	388	599
393	388	598
394	389	596
395	390	594
396	390	593
397	391	592
398	392	590
399	392	588
400	393	587
401	393	585
402	394	583
403	394	582
404	395	580
405	395	578
406	396	577
407	396	575
408	397	574
409	397	572
410	398	570
411	398	569
412	399	567
413	399	565
414	400	564
415	400	562
416	401	560
417	401	559
418	402	557
419	402	556
420	403	554
421	403	553
422	404	551
423	404	550
424	405	548
425	406	547
426	406	545
427	407	544
428	407	542
429	408	541
430	408	539
431	409	538
432	409	536
433	410	535
434	411	533
435	411	532
436	412	531
437	412	529
438	413	528
439	413	526
440	414	525
441	414	523
442	415	522
443	415	520
444	416	519
445	416	517
446	417	516
447	417	514
448	418	513
449	418	511
450	419	510
451	419	509
452	420	507
453	421	506
454	421	505
455	422	503
456	422	502
457	423	501
458	423	499
459	424	498
460	424	496
461	425	495
462	426	494
463	426	492
464	427	491
465	427	489
466	428	488
467	428	487
468	429	485
469	429	484
470	430	483
471	430	481
472	431	480
473	431	479
474	432	477
475	432	476
476	433	474
477	433	473
478	434	472
479	434	470
480	435	469
481	435	468
482	436	467
483	437	465
484	437	464
485	438	463
486	438	462
487	439	460
488	439	459
489	440	458
490	440	457
491	441	455
492	441	454
493	442	453
494	443	452
495	443	450
496	444	449
497	444	448
498	445	446
499	445	445
500	446	444
501	446	443
502	447	441
503	447	440
504	448	439
505	448	438
506	449	436
507	449	435
508	450	434
509	450	433
510	451	431
511	452	431
512	452	429
513	453	428
514	453	427
515	454	426
516	454	425
517	455	423
518	456	422
519	456	421
520	457	420
521	457	419
522	458	417
523	458	416
524	459	415
525	459	414
526	460	412
527	460	411
528	461	410
529	461	409
530	462	408
531	462	407
532	463	405
533	463	404
534	464	403
535	464	402
536	465	401
537	465	399
538	466	398
539	466	397
540	467	396
541	468	395
542	468	394
543	469	393
544	469	392
545	470	390
546	470	389
547	471	388
548	471	387
549	472	386
550	472	385
551	473	384
552	473	383
553	474	381
554	475	380
555	475	379
556	476	378
557	476	377
558	477	376
559	477	375
560	478	374
561	478	372
562	479	371
563	479	370
564	480	369
565	480	368
566	481	367
567	481	366
568	482	365
569	482	364
570	483	363
571	483	362
572	484	361
573	485	360
574	485	359
575	486	357
576	486	356
577	487	355
578	487	354
579	488	353
580	488	352
581	489	351
582	489	350
583	490	349
584	490	348
585	491	347
586	491	346
587	492	345
588	492	343
589	493	342
590	493	341
591	494	340
592	494	339
593	495	338
594	495	337
595	496	336
596	496	335
597	497	334
598	498	333
599	498	332
600	499	331
601	499	330
602	500	329
603	500	328
604	501	327
605	502	326
606	502	325
607	503	324
608	503	323
609	504	322
610	504	321
611	505	320
612	505	319
613	506	318
614	507	317
615	507	316
616	508	315
617	508	314
618	509	313
619	509	312
620	510	311
621	510	310
622	511	309
623	512	308
624	512	307
625	513	306
626	513	305
627	514	304
628	515	303
629	515	302
630	516	301
631	516	300
632	517	299
633	517	298
634	518	297
635	518	296
636	519	296
637	519	294
638	520	294
639	520	293
640	521	292
641	522	291
642	522	290
643	523	289
644	523	288
645	524	287
646	524	286
647	525	285
648	525	284
649	526	283
650	527	282
651	527	281
652	528	280
653	529	279
654	529	278
655	530	278
656	530	277
657	531	276
658	531	275
659	532	274
660	532	273
661	533	272
662	534	271
663	535	270
664	535	269
665	536	268
666	536	268
667	537	267
668	538	266
669	538	265
670	539	264
671	539	263
672	540	262
673	541	261
674	541	260
675	542	259
676	542	259
677	543	258
678	544	257
679	545	256
680	545	255
681	546	254
682	547	253
683	547	253
684	548	252
685	548	251
686	549	250
687	550	249
688	550	248
689	551	247
690	551	246
691	552	245
692	553	244
693	553	244
694	554	243
695	554	242
696	555	241
697	555	240
698	556	239
699	557	238
700	557	237
701	558	236
702	558	236
703	559	235
704	560	234
705	560	233
706	561	232
707	562	231
708	562	231
709	563	230
710	563	229
711	564	228
712	565	227
713	565	226
714	566	225
715	567	225
716	568	224
717	568	223
718	569	222
719	569	221
720	570	220
721	571	219
722	571	218
723	572	218
724	572	217
725	573	216
